iter	Passed	Remaining
234	259012	292078
235	260047	290900
236	261052	289690
237	262041	288465
238	263028	287240
239	264048	286052
240	265053	284850
241	266015	283602
242	267245	282642
243	268211	281401
244	269355	280349
245	270393	279187
246	271409	278002
247	272553	276949
248	273610	275807
249	274654	274654
250	275825	273627
251	276857	272463
252	278012	271419
253	279025	270237
254	280034	269052
255	281153	267974
256	282226	266852
257	283095	265538
258	284192	264441
259	285257	263314
260	286271	262141
261	287419	261090
262	288418	259905
263	289397	258704
264	290528	257638
265	291569	256493
266	292585	255327
267	293687	254236
268	294697	253067
269	295692	251885
270	296672	250693
271	297779	249609
272	298810	248461
273	299822	247299
274	300946	246229
275	301982	245087
276	302969	243906
277	303965	242735
278	304961	241564
279	305985	240416
280	306983	239250
281	308112	238186
282	309139	237043
283	310167	235902
284	311116	234702
285	312193	233599
286	313218	232458
287	314341	231390
288	315345	230234
289	316354	229084
290	317339	227917
291	318413	226815
292	319379	225637
293	320356	224467
294	321345	223307
295	321863	221824
296	322434	220384
297	323274	219132
298	324289	218000
299	325275	216850
300	326282	215715
301	327293	214583
302	328298	213448
303	329302	212313
304	330306	211179
305	331286	210031
306	332395	208965
307	333513	207904
308	334533	206782
309	335408	205572
310	336518	204508
311	337400	203305
312	338380	202163
313	339381	201034
314	340473	199960
315	341520	198859
316	342424	197677
317	343451	196566
318	344435	195432
319	345526	194358
320	346543	193243
321	347510	192101
322	348573	191014
323	349563	189886
324	350580	188774
325	351608	187668
326	352596	186541
327	353535	185390
328	354590	184300
329	355619	183197
330	356595	182068
331	357596	180952
332	358592	179834
333	359601	178724
334	360606	177612
335	361618	176504
336	362610	175387
337	363658	174297
338	364665	173189
339	365659	172075
340	366629	170950
341	367611	169832
342	368634	168733
343	369617	167617
344	370638	166518
345	371635	165409
346	372642	164306
347	373653	163204
348	374675	162108
349	375664	160998
350	376658	159891
351	377671	158793
352	378696	157700
353	379746	156618
354	380758	155520
355	381745	154413
356	382730	153306
357	383873	152262
358	384881	151165
359	385874	150062
360	386862	148958
361	387870	147862
362	388868	146763
363	389868	145664
364	390866	144567
365	391863	143469
366	392940	142400
367	393985	141320
368	394999	140230
369	396020	139142
370	397025	138049
371	398022	136953
372	399050	135869
373	400129	134803
374	401147	133715
375	402141	132621
376	403139	131528
377	404167	130445
378	405176	129357
379	406200	128273
380	407205	127184
381	408205	126094
382	409231	125013
383	410248	123929
384	411280	122849
385	412314	121771
386	413331	120688
387	414449	119634
388	415567	118581
389	416606	117504
390	417659	116431
391	418640	115339
392	419772	114289
393	420787	113206
394	421794	112122
395	422899	111064
396	423952	109992
397	425000	108919
398	426025	107840
399	427157	106789
400	428179	105710
401	429192	104629
402	430244	103557
403	431267	102479
404	432250	101392
405	433251	100309
406	434374	99255
407	435411	98181
408	436428	97102
409	437545	96046
410	438602	94977
411	439623	93900
412	440638	92822
413	441636	91740
414	442611	90655
415	443639	89580
416	444624	88498
417	445631	87420
418	446630	86341
419	447677	85271
420	448716	84201
421	449718	83123
422	450739	82049
423	451867	80995
424	452922	79927
425	454000	78864
426	455002	77787
427	456087	76724
428	457235	75673
429	458530	74644
430	459654	73587
431	460723	72521
432	461878	71468
433	462921	70398
434	464055	69341
435	465135	68276
436	466195	67208
437	467091	66118
438	468223	65060
439	469238	63987
440	470237	62911
441	471215	61833
442	472237	60761
443	473226	59686
444	474224	58611
445	475332	57551
446	476348	56479
447	477336	55405
448	478523	54353
449	479547	53283
450	480541	52209
451	481531	51136
452	482567	50067
453	483688	49008
454	484830	47950
455	485834	46878
456	486940	45817
457	487955	44747
458	489070	43686
459	490053	42613
460	491161	41551
461	492164	40481
462	493213	39414
463	494249	38346
464	495270	37278
465	496295	36210
466	497310	35141
467	498334	34074
468	499391	33008
469	500392	31939
470	501503	30878
471	502541	29811
472	503546	28743
473	504672	27682
474	505729	26617
475	506740	25549
476	507718	24481
477	508763	23415
478	509791	22349
479	510815	21283
480	511904	20220
481	512976	19156
482	514036	18092
483	515113	17028
484	516137	15963
485	517134	14896
486	518133	13831
487	519217	12767
488	520204	11701
489	521215	10637
490	522311	9573
491	523489	8512
492	524489	7447
493	525596	6383
494	526618	5319
495	527653	4255
496	528758	3191
497	529842	2127
498	530826	1063
499	531873	0
